Experiment,Algorithm,Min Support,Confidence Threshold,Max Itemset Length,Accuracy,Precision,Recall,Hit Rate,MRR
1,Apriori,0.005,0.05,2,0.00026968716289104636,0.032632146709816616,0.001919536030571117,0.032632146709816616,0.04636015325670498
1,FP-Growth,0.005,0.05,2,0.00026968716289104636,0.032632146709816616,0.001919536030571117,0.032632146709816616,0.04636015325670498
2,Apriori,0.005,0.05,4,0.00026968716289104636,0.03128371089536138,0.0018521588698009774,0.03128371089536138,0.044444444444444446
2,FP-Growth,0.005,0.05,4,0.00026968716289104636,0.03128371089536138,0.0018521588698009774,0.03128371089536138,0.044444444444444446
3,Apriori,0.005,0.1,2,0.00026968716289104636,0.032632146709816616,0.001919536030571117,0.032632146709816616,0.04636015325670498
3,FP-Growth,0.005,0.1,2,0.00026968716289104636,0.032632146709816616,0.001919536030571117,0.032632146709816616,0.04636015325670498
4,Apriori,0.005,0.1,4,0.00026968716289104636,0.03128371089536138,0.0018521588698009774,0.03128371089536138,0.044444444444444446
4,FP-Growth,0.005,0.1,4,0.00026968716289104636,0.03128371089536138,0.0018521588698009774,0.03128371089536138,0.044444444444444446
5,Apriori,0.005,0.2,2,0.00026968716289104636,0.02831715210355987,0.0016848599026320736,0.02831715210355987,0.0461133069828722
5,FP-Growth,0.005,0.2,2,0.00026968716289104636,0.02831715210355987,0.0016848599026320736,0.02831715210355987,0.0461133069828722
6,Apriori,0.005,0.2,4,0.00026968716289104636,0.02696871628910464,0.0016174827418619336,0.02696871628910464,0.04391743522178305
6,FP-Growth,0.005,0.2,4,0.00026968716289104636,0.02696871628910464,0.0016174827418619336,0.02696871628910464,0.04391743522178305
7,Apriori,0.005,0.3,2,0.00026968716289104636,0.021844660194174758,0.0014348271742957912,0.021844660194174758,0.047285464098073555
7,FP-Growth,0.005,0.3,2,0.00026968716289104636,0.021844660194174758,0.0014348271742957912,0.021844660194174758,0.047285464098073555
8,Apriori,0.005,0.3,4,0.00026968716289104636,0.020496224379719527,0.0013674500135256514,0.020496224379719527,0.044366608289550497
8,FP-Growth,0.005,0.3,4,0.00026968716289104636,0.020496224379719527,0.0013674500135256514,0.020496224379719527,0.044366608289550497
9,Apriori,0.01,0.05,2,0.00026968716289104636,0.02912621359223301,0.0017611131960138635,0.02912621359223301,0.04522613065326633
9,FP-Growth,0.01,0.05,2,0.00026968716289104636,0.02912621359223301,0.0017611131960138635,0.02912621359223301,0.04522613065326633
10,Apriori,0.01,0.05,4,0.00026968716289104636,0.02912621359223301,0.0017694631938108849,0.02912621359223301,0.04522613065326633
10,FP-Growth,0.01,0.05,4,0.00026968716289104636,0.02912621359223301,0.0017694631938108849,0.02912621359223301,0.04522613065326633
11,Apriori,0.01,0.1,2,0.00026968716289104636,0.02912621359223301,0.0017611131960138635,0.02912621359223301,0.04522613065326633
