Algorithm,Top_K,Min_Support,Confidence_Threshold,Max_Itemset_Length,Accuracy,Precision,Recall,Hit Rate,MRR
FP-Growth,250,0.005,0.1,2,0.18659201368637973,0.1162455771997356,0.022043867004339482,0.1162455771997356,0.1162455771997356
FP-Growth,250,0.005,0.1,4,0.18659201368637973,0.1162455771997356,0.022043867004339482,0.1162455771997356,0.1162455771997356
FP-Growth,250,0.005,0.2,2,0.18659201368637973,0.1162455771997356,0.022043867004339482,0.1162455771997356,0.1162455771997356
FP-Growth,250,0.005,0.2,4,0.18659201368637973,0.1162455771997356,0.022043867004339482,0.1162455771997356,0.1162455771997356
FP-Growth,250,0.005,0.3,2,0.18659201368637973,0.04549165986235857,0.007809260738986077,0.04549165986235857,0.04549165986235857
FP-Growth,250,0.005,0.3,4,0.18659201368637973,0.04549165986235857,0.007809260738986077,0.04549165986235857,0.04549165986235857
FP-Growth,250,0.01,0.1,2,0.18659201368637973,0.08312453827909327,0.014799425876783122,0.08312453827909327,0.08312453827909327
FP-Growth,250,0.01,0.1,4,0.18659201368637973,0.08312453827909327,0.014799425876783122,0.08312453827909327,0.08312453827909327
FP-Growth,250,0.01,0.2,2,0.18659201368637973,0.08312453827909327,0.014799425876783122,0.08312453827909327,0.08312453827909327
FP-Growth,250,0.01,0.2,4,0.18659201368637973,0.08312453827909327,0.014799425876783122,0.08312453827909327,0.08312453827909327
FP-Growth,250,0.01,0.3,2,0.18659201368637973,0.0257257280609666,0.004457085004497163,0.0257257280609666,0.0257257280609666
FP-Growth,250,0.01,0.3,4,0.18659201368637973,0.0257257280609666,0.004457085004497163,0.0257257280609666,0.0257257280609666
FP-Growth,250,0.02,0.1,2,0.18659201368637973,0.0,0.0,0.0,0.0
FP-Growth,250,0.02,0.1,4,0.18659201368637973,0.0,0.0,0.0,0.0
FP-Growth,250,0.02,0.2,2,0.18659201368637973,0.0,0.0,0.0,0.0
FP-Growth,250,0.02,0.2,4,0.18659201368637973,0.0,0.0,0.0,0.0
FP-Growth,250,0.02,0.3,2,0.18659201368637973,0.0,0.0,0.0,0.0
FP-Growth,250,0.02,0.3,4,0.18659201368637973,0.0,0.0,0.0,0.0
FP-Growth,500,0.005,0.1,2,0.1259691278821105,0.1162455771997356,0.018244506155145144,0.1162455771997356,0.1162455771997356
FP-Growth,500,0.005,0.1,4,0.1259691278821105,0.1162455771997356,0.018244506155145144,0.1162455771997356,0.1162455771997356
FP-Growth,500,0.005,0.2,2,0.1259691278821105,0.1162455771997356,0.018244506155145144,0.1162455771997356,0.1162455771997356
FP-Growth,500,0.005,0.2,4,0.1259691278821105,0.1162455771997356,0.018244506155145144,0.1162455771997356,0.1162455771997356
FP-Growth,500,0.005,0.3,2,0.1259691278821105,0.04549165986235857,0.0065269169348630895,0.04549165986235857,0.04549165986235857
FP-Growth,500,0.005,0.3,4,0.1259691278821105,0.04549165986235857,0.0065269169348630895,0.04549165986235857,0.04549165986235857
FP-Growth,500,0.01,0.1,2,0.1259691278821105,0.08312453827909327,0.012295069866675187,0.08312453827909327,0.08312453827909327
FP-Growth,500,0.01,0.1,4,0.1259691278821105,0.08312453827909327,0.012295069866675187,0.08312453827909327,0.08312453827909327
FP-Growth,500,0.01,0.2,2,0.1259691278821105,0.08312453827909327,0.012295069866675187,0.08312453827909327,0.08312453827909327
FP-Growth,500,0.01,0.2,4,0.1259691278821105,0.08312453827909327,0.012295069866675187,0.08312453827909327,0.08312453827909327
FP-Growth,500,0.01,0.3,2,0.1259691278821105,0.0257257280609666,0.003748735040085788,0.0257257280609666,0.0257257280609666
FP-Growth,500,0.01,0.3,4,0.1259691278821105,0.0257257280609666,0.003748735040085788,0.0257257280609666,0.0257257280609666
FP-Growth,500,0.02,0.1,2,0.1259691278821105,0.0,0.0,0.0,0.0
FP-Growth,500,0.02,0.1,4,0.1259691278821105,0.0,0.0,0.0,0.0
FP-Growth,500,0.02,0.2,2,0.1259691278821105,0.0,0.0,0.0,0.0
FP-Growth,500,0.02,0.2,4,0.1259691278821105,0.0,0.0,0.0,0.0
FP-Growth,500,0.02,0.3,2,0.1259691278821105,0.0,0.0,0.0,0.0
FP-Growth,500,0.02,0.3,4,0.1259691278821105,0.0,0.0,0.0,0.0
FP-Growth,1000,0.005,0.1,2,0.07860803297173297,0.1162455771997356,0.015276130567694387,0.1162455771997356,0.1162455771997356
FP-Growth,1000,0.005,0.1,4,0.07860803297173297,0.1162455771997356,0.015276130567694387,0.1162455771997356,0.1162455771997356
FP-Growth,1000,0.005,0.2,2,0.07860803297173297,0.1162455771997356,0.015276130567694387,0.1162455771997356,0.1162455771997356
FP-Growth,1000,0.005,0.2,4,0.07860803297173297,0.1162455771997356,0.015276130567694387,0.1162455771997356,0.1162455771997356
FP-Growth,1000,0.005,0.3,2,0.07860803297173297,0.04549165986235857,0.005475937459017354,0.04549165986235857,0.04549165986235857
FP-Growth,1000,0.005,0.3,4,0.07860803297173297,0.04549165986235857,0.005475937459017354,0.04549165986235857,0.04549165986235857
FP-Growth,1000,0.01,0.1,2,0.07860803297173297,0.08312453827909327,0.010311924482740903,0.08312453827909327,0.08312453827909327
FP-Growth,1000,0.01,0.1,4,0.07860803297173297,0.08312453827909327,0.010311924482740903,0.08312453827909327,0.08312453827909327
FP-Growth,1000,0.01,0.2,2,0.07860803297173297,0.08312453827909327,0.010311924482740903,0.08312453827909327,0.08312453827909327
FP-Growth,1000,0.01,0.2,4,0.07860803297173297,0.08312453827909327,0.010311924482740903,0.08312453827909327,0.08312453827909327
FP-Growth,1000,0.01,0.3,2,0.07860803297173297,0.0257257280609666,0.0031449985115568797,0.0257257280609666,0.0257257280609666
FP-Growth,1000,0.01,0.3,4,0.07860803297173297,0.0257257280609666,0.0031449985115568797,0.0257257280609666,0.0257257280609666
FP-Growth,1000,0.02,0.1,2,0.07860803297173297,0.0,0.0,0.0,0.0
FP-Growth,1000,0.02,0.1,4,0.07860803297173297,0.0,0.0,0.0,0.0
FP-Growth,1000,0.02,0.2,2,0.07860803297173297,0.0,0.0,0.0,0.0
FP-Growth,1000,0.02,0.2,4,0.07860803297173297,0.0,0.0,0.0,0.0
FP-Growth,1000,0.02,0.3,2,0.07860803297173297,0.0,0.0,0.0,0.0
FP-Growth,1000,0.02,0.3,4,0.07860803297173297,0.0,0.0,0.0,0.0
